PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,ID_CODE,AREA,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,WAVE,SUB_REG,INTSITE,MODE_F,MODE_FX,CATCH,CNTRBTRS,PARTY,FIRST,NUM_TYP4,NUM_TYP6,NUM_TYP2,NUM_TYP3,AREA_X,ON_LIST,CNTY,BOAT_HRS,NUM_TYP9,TELEFON,COASTAL,KOD,ASG_CODE,MODE_ASG,NEW_LIST,PRT_CODE,CELLTYPE,REGION,STRAT_INTERVAL,ZIP,MONTH,FSHINSP_A,NUM_FISH_A,COUNTY,TIME,MODE2001,DIST,GEAR,TSN1,TSN2,PVT_RES,SEX,AGE,ART_REEF,ADD_PH,F_BY_P,SEP_FISH,DATE1,PRIM1,PRIM2,TURTLE,REEFCODE,AREA_NC,MUNI_RES,MUNI_TRP,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,DATE_PUBLISHED
UNIDENTIFIED (SURFACE FISH),KINGFISH GENUS,2024011273weS:8AM-8PM,2024112731587720240114,2024,6,12,127,12,1587720240114011,1,2.00,,100,16,1,6,21,1,3,2,1,,,0,0,0,0,1,,127,,,,Y,we,1587720240114,1,,1587720240114011,,7,S:8AM-8PM,32168,01,,,VOLUSIA,1326,0,1,1,169273,,,1,51,-1,1,8,8,02AUG24:11:17,8835440600,1000000003,,,,,,3402.4128014,2024011273weS:8AM-8PM,,0,1587720240114011,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),2024011253weS:8AM-8PM,2024112531592020240107,2024,6,12,99,12,1592020240107001,1,2.00,,0,0,1,6,85,1,3,2,1,,,0,0,0,0,1,,99,,,,Y,we,1592020240107,1,,1592020240107001,,5,S:8AM-8PM,33462,01,,,PALM BEACH,1038,0,1,1,,,,1,64,-1,1,8,8,02AUG24:11:17,1000000003,1000000003,,,,,,9200.0455185,2024011253weS:8AM-8PM,,0,1592020240107001,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),2024011253weS:8AM-8PM,2024112531592020240107,2024,0,39,99,12,1592020240107002,1,3.50,,30,3,1,6,85,1,3,2,1,,,0,0,0,0,1,,99,,,,O,we,1592020240107,1,,1592020240107002,,5,S:8AM-8PM,44401,01,,,,1148,0,1,1,,,,1,48,-1,1,8,8,02AUG24:11:17,1000000003,1000000003,,,,,,1520.415383,2024011253weS:8AM-8PM,,0,1592020240107002,05/05/2025
UNIDENTIFIED (SURFACE FISH),SNAPPER FAMILY,2024011253weS:8AM-8PM,2024112531592020240107,2024,6,12,99,12,1592020240107003,1,3.50,0.00,100,16,1,6,85,1,3,1,1,,,0,0,0,4,1,,99,,,,Y,we,1592020240107,1,,1592020240107003,1,5,S:8AM-8PM,33404,01,4,0,PALM BEACH,1157,0,1,1,168845,,,1,48,-1,2,1,8,02AUG24:11:17,8835360000,1000000003,,,,,,1520.415383,2024011253weS:8AM-8PM,,0,1592020240107003,05/05/2025
UNIDENTIFIED (SURFACE FISH),MACKEREL GENUS,2024011253weS:8AM-8PM,2024112531592020240107,2024,6,12,99,12,1592020240107004,1,6.00,0.00,998,98,1,6,85,1,3,2,1,,,0,0,2,0,1,,99,,,,Y,we,1592020240107,1,,1592020240107004,1,5,S:8AM-8PM,99999,01,0,1,PALM BEACH,1207,0,1,1,172434,,,1,52,-1,2,8,8,02AUG24:11:17,8850030500,1000000003,,,,,,1520.415383,2024011253weS:8AM-8PM,,0,1592020240107004,05/05/2025
UNIDENTIFIED (SURFACE FISH),MACKEREL GENUS,2024011253weS:8AM-8PM,2024112531592020240107,2024,6,12,11,12,1592020240107005,1,6.00,,998,98,1,6,85,1,3,2,1,,,0,0,0,0,1,,99,,,,Y,we,1592020240107,1,,1592020240107005,,5,S:8AM-8PM,99999,01,,,BROWARD,1207,0,1,1,172434,,,1,25,-1,2,8,8,02AUG24:11:17,8850030500,1000000003,,,,,,1520.415383,2024011253weS:8AM-8PM,,0,1592020240107005,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),2024011253weS:8AM-8PM,2024112531592020240107,2024,6,12,99,12,1592020240107006,1,3.50,0.00,20,3,1,6,85,1,3,2,1,,,0,0,1,0,1,,99,,,,Y,we,1592020240107,1,,1592020240107006,1,5,S:8AM-8PM,33460,01,0,4,PALM BEACH,1220,0,1,1,,,,1,20,-1,1,8,8,02AUG24:11:17,1000000003,1000000003,,,,,,1520.415383,2024011253weS:8AM-8PM,,0,1592020240107006,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),2024011253weS:8AM-8PM,2024112531592020240107,2024,6,12,99,12,1592020240107007,1,2.50,0.00,100,20,1,6,85,1,3,2,1,,,0,0,1,0,1,,99,,,,Y,we,1592020240107,1,,1592020240107007,1,5,S:8AM-8PM,33460,01,0,4,PALM BEACH,1313,0,1,1,,,,1,58,-1,2,8,8,02AUG24:11:17,1000000003,1000000003,,,,,,1520.415383,2024011253weS:8AM-8PM,,0,1592020240107007,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),2024011253weS:8AM-8PM,2024112531592020240107,2024,6,12,99,12,1592020240107008,1,2.50,,100,20,1,6,85,1,3,2,1,,,0,0,0,0,1,,99,,,,Y,we,1592020240107,1,,1592020240107008,,5,S:8AM-8PM,33405,01,,,PALM BEACH,1313,0,1,1,,,,1,59,-1,2,8,8,02AUG24:11:17,1000000003,1000000003,,,,,,1520.415383,2024011253weS:8AM-8PM,,0,1592020240107008,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),2024011253weS:8AM-8PM,2024112531592520240114,2024,6,12,99,12,1592520240114001,1,2.00,,5,1,1,6,85,1,3,2,1,,,0,0,0,0,1,,99,,,,Y,we,1592520240114,1,,1592520240114001,,5,S:8AM-8PM,33463,01,,,PALM BEACH,1527,0,1,1,,,,1,37,-1,2,8,8,02AUG24:11:17,1000000003,1000000003,,,,,,1689.0804833,2024011253weS:8AM-8PM,,0,1592520240114001,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),2024011253weS:8AM-8PM,2024112531592520240114,2024,6,12,99,12,1592520240114002,1,2.00,0.00,5,1,1,6,85,1,3,2,1,,,0,0,1,0,1,,99,,,,Y,we,1592520240114,1,,1592520240114002,1,5,S:8AM-8PM,33463,01,,,PALM BEACH,1527,0,1,1,,,,2,8,-1,2,8,8,02AUG24:11:17,1000000003,1000000003,,,,,,1689.0804833,2024011253weS:8AM-8PM,,0,1592520240114002,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),2024011253weS:8AM-8PM,2024112531592520240114,2024,6,12,99,12,1592520240114003,1,1.00,,3,3,1,6,85,1,3,2,1,,,0,0,0,0,1,,99,,,,Y,we,1592520240114,1,,1592520240114003,,5,S:8AM-8PM,33401,01,,,PALM BEACH,1555,0,1,1,,,,1,25,-1,2,8,8,02AUG24:11:17,1000000003,1000000003,,,,,,1689.0804833,2024011253weS:8AM-8PM,,0,1592520240114003,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),2024011253weS:8AM-8PM,2024112531592520240114,2024,5,36,81,12,1592520240114004,1,1.00,,1,0,1,6,85,1,3,2,1,,,0,0,0,0,1,,99,,,,O,we,1592520240114,1,,1592520240114004,,5,S:8AM-8PM,11385,01,,,QUEENS,1555,0,1,1,,,,1,25,-1,1,8,8,02AUG24:11:17,1000000003,1000000003,,,,,,1689.0804833,2024011253weS:8AM-8PM,,0,1592520240114004,05/05/2025
UNIDENTIFIED (SURFACE FISH),SNOOK GENUS,2024021253weS:8AM-8PM,2024112531592520240202,2024,6,12,99,12,1592520240202001,1,4.50,0.00,175,30,1,6,85,1,3,2,1,,,0,0,1,0,1,,99,,,,Y,we,1592520240202,1,,1592520240202001,1,5,S:8AM-8PM,33463,02,0,2,PALM BEACH,1147,0,1,1,167643,,,1,66,-1,1,8,8,02AUG24:11:17,8835010100,1000000003,,,,,,3488.1985473,2024021253weS:8AM-8PM,,0,1592520240202001,05/05/2025
UNIDENTIFIED (SURFACE FISH),SPANISH MACKEREL,2024021253weS:8AM-8PM,2024112531592520240202,2024,6,12,99,12,1592520240202002,1,2.50,0.00,3,3,1,6,85,1,3,2,1,,,0,0,3,0,1,,99,,,,Y,we,1592520240202,1,,1592520240202002,1,5,S:8AM-8PM,99998,02,0,1,PALM BEACH,1305,0,1,1,172436,,,1,74,-1,2,8,8,02AUG24:11:17,8850030502,1000000003,,,,,,3488.1985473,2024021253weS:8AM-8PM,,0,1592520240202002,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),2024021253weS:8AM-8PM,2024112531592520240202,2024,6,12,99,12,1592520240202003,1,2.50,0.00,150,24,1,6,85,1,3,2,1,,,0,0,1,0,1,,99,,,,Y,we,1592520240202,1,,1592520240202003,1,5,S:8AM-8PM,33414,02,,,PALM BEACH,1327,0,1,1,,,,1,15,-1,2,8,8,02AUG24:11:17,1000000003,1000000003,,,,,,3488.1985473,2024021253weS:8AM-8PM,,0,1592520240202003,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),2024021253weS:8AM-8PM,2024112531592520240202,2024,4,25,25,12,1592520240202004,1,2.00,0.00,0,0,1,6,85,1,3,2,1,,,0,0,1,0,1,,99,,,,O,we,1592520240202,1,,1592520240202004,1,5,S:8AM-8PM,02131,02,0,1,SUFFOLK,1346,0,1,1,,,,2,35,-1,1,8,8,02AUG24:11:17,1000000003,1000000003,,,,,,3488.1985473,2024021253weS:8AM-8PM,,0,1592520240202004,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),2024021253weS:8AM-8PM,2024112531592520240202,2024,6,12,99,12,1592520240202005,1,0.50,,30,4,1,6,85,1,3,2,1,,,0,0,0,0,1,,99,,,,Y,we,1592520240202,1,,1592520240202005,,5,S:8AM-8PM,33462,02,,,PALM BEACH,1537,0,1,1,,,,1,14,-1,2,8,8,02AUG24:11:17,1000000003,1000000003,,,,,,5742.0546957,2024021253weS:8AM-8PM,,0,1592520240202005,05/05/2025
UNIDENTIFIED (SURFACE FISH),SNAPPER FAMILY,2024021253weS:8AM-8PM,2024112531592520240202,2024,6,12,99,12,1592520240202006,1,3.00,0.00,4,0,1,6,85,1,3,2,1,,,0,0,1,0,1,,99,,,,Y,we,1592520240202,1,,1592520240202006,1,5,S:8AM-8PM,33467,02,0,1,PALM BEACH,1552,0,1,1,168845,,,1,65,-1,1,8,8,02AUG24:11:17,8835360000,1000000003,,,,,,5742.0546957,2024021253weS:8AM-8PM,,0,1592520240202006,05/05/2025
UNIDENTIFIED (SURFACE FISH),IRISH POMPANO,2024021253weS:8AM-8PM,2024112531592520240202,2024,6,12,99,12,1592520240202007,1,2.50,,15,0,1,6,85,1,3,2,1,,,0,0,0,0,1,,99,,,,Y,we,1592520240202,1,,1592520240202007,,5,S:8AM-8PM,33462,02,,,PALM BEACH,1652,0,1,1,169029,,,1,61,-1,1,8,8,02AUG24:11:17,8835390201,1000000003,,,,,,5742.0546957,2024021253weS:8AM-8PM,,0,1592520240202007,05/05/2025
UNIDENTIFIED (SURFACE FISH),IRISH POMPANO,2024021253weS:8AM-8PM,2024112531592520240202,2024,6,12,99,12,1592520240202008,1,2.50,0.00,15,0,1,6,85,1,3,1,1,,,0,0,0,1,1,,99,,,,Y,we,1592520240202,1,,1592520240202008,1,5,S:8AM-8PM,33411,02,1,0,PALM BEACH,1652,0,1,1,169029,,,1,12,-1,2,1,8,02AUG24:11:17,8835390201,1000000003,,,,,,5742.0546957,2024021253weS:8AM-8PM,,0,1592520240202008,05/05/2025
UNIDENTIFIED (SURFACE FISH),SNOOK GENUS,2024021253weS:8AM-8PM,2024112531592520240209,2024,6,12,99,12,1592520240209001,1,2.00,0.00,200,24,1,6,1448,1,3,2,1,,,0,0,1,0,1,,99,,,,Y,we,1592520240209,1,,1592520240209001,1,5,S:8AM-8PM,33410,02,,,PALM BEACH,1107,0,1,1,167643,,,1,62,-1,2,8,8,02AUG24:11:17,8835010100,1000000003,,,,,,2379.0591316,2024021253weS:8AM-8PM,,0,1592520240209001,05/05/2025
SHEEPSHEAD,FLORIDA POMPANO,2024021253weS:8AM-8PM,2024112531592520240209,2024,6,12,99,12,1592520240209002,1,4.00,0.00,6,1,1,6,1448,1,3,2,1,,,0,0,4,0,1,,99,,,,Y,we,1592520240209,1,,1592520240209002,1,5,S:8AM-8PM,33498,02,,,PALM BEACH,1155,0,1,1,168708,169189,,1,68,-1,2,8,8,02AUG24:11:17,8835280901,8835430301,,,,,,2379.0591316,2024021253weS:8AM-8PM,,0,1592520240209002,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),2024021253weS:8AM-8PM,2024112531592520240209,2024,6,12,11,12,1592520240209003,1,3.50,0.00,15,3,1,6,1448,1,3,2,1,,,0,0,1,0,1,,99,,,,Y,we,1592520240209,1,,1592520240209003,1,5,S:8AM-8PM,33441,02,,,BROWARD,1204,0,1,1,,,,1,63,-1,2,8,8,02AUG24:11:17,1000000003,1000000003,,,,,,2379.0591316,2024021253weS:8AM-8PM,,0,1592520240209003,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),2024021253weS:8AM-8PM,2024112531592520240209,2024,6,12,85,12,1592520240209004,1,3.50,0.00,15,1,1,6,1448,1,3,2,1,,,0,0,1,0,1,,99,,,,Y,we,1592520240209,1,,1592520240209004,1,5,S:8AM-8PM,34997,02,,,MARTIN,1205,0,1,1,,,,1,66,-1,1,8,8,02AUG24:11:17,1000000003,1000000003,,,,,,2379.0591316,2024021253weS:8AM-8PM,,0,1592520240209004,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),2024021253weS:8AM-8PM,2024112531592520240209,2024,0,27,171,12,1592520240209005,1,2.00,0.00,0,0,1,6,1448,1,3,2,1,,,0,0,2,0,1,,99,,,,O,we,1592520240209,1,,1592520240209005,1,5,S:8AM-8PM,55362,02,,,,1306,0,1,1,,,,1,26,-1,1,8,8,02AUG24:11:17,1000000003,1000000003,,,,,,2379.0591316,2024021253weS:8AM-8PM,,0,1592520240209005,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),2024021253weS:8AM-8PM,2024112531592520240209,2024,0,27,171,12,1592520240209006,1,2.00,0.00,0,0,1,6,1448,1,3,2,1,,,0,0,2,0,1,,99,,,,O,we,1592520240209,1,,1592520240209006,1,5,S:8AM-8PM,55362,02,,,,1306,0,1,1,,,,1,24,-1,2,8,8,02AUG24:11:17,1000000003,1000000003,,,,,,2379.0591316,2024021253weS:8AM-8PM,,0,1592520240209006,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),2024021253weS:8AM-8PM,2024112531592520240209,2024,0,55,9,12,1592520240209007,1,2.00,0.00,0,0,1,6,1448,1,3,2,1,,,0,0,1,0,1,,99,,,,O,we,1592520240209,1,,1592520240209007,1,5,S:8AM-8PM,54204,02,,,,1315,0,1,1,,,,1,61,-1,2,8,8,02AUG24:11:17,1000000003,1000000003,,,,,,2379.0591316,2024021253weS:8AM-8PM,,0,1592520240209007,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),2024021253weS:8AM-8PM,2024112531592520240209,2024,0,55,9,12,1592520240209008,1,2.00,0.00,2,2,1,6,1448,1,3,2,1,,,0,0,1,0,1,,99,,,,O,we,1592520240209,1,,1592520240209008,1,5,S:8AM-8PM,54229,02,,,,1315,0,1,1,,,,1,60,-1,2,8,8,02AUG24:11:17,1000000003,1000000003,,,,,,2379.0591316,2024021253weS:8AM-8PM,,0,1592520240209008,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),2024021253weS:8AM-8PM,2024112531592520240209,2024,6,12,111,12,1592520240209009,1,2.00,,24,0,1,6,1448,1,3,2,1,,,0,0,0,0,1,,99,,,,Y,we,1592520240209,1,,1592520240209009,,5,S:8AM-8PM,99998,02,,,ST LUCIE,1321,0,1,1,,,,1,65,-1,2,8,8,02AUG24:11:17,1000000003,1000000003,,,,,,2379.0591316,2024021253weS:8AM-8PM,,0,1592520240209009,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),2024021253weS:8AM-8PM,2024112531592520240209,2024,6,12,111,12,1592520240209010,1,2.00,,24,0,1,6,1448,1,3,2,1,,,0,0,0,0,1,,99,,,,Y,we,1592520240209,1,,1592520240209010,,5,S:8AM-8PM,34952,02,,,ST LUCIE,1321,0,1,1,,,,1,24,-1,2,8,8,02AUG24:11:17,1000000003,1000000003,,,,,,2379.0591316,2024021253weS:8AM-8PM,,0,1592520240209010,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),2024021253weS:8AM-8PM,2024112531592520240209,2024,6,12,86,12,1592520240209011,1,6.50,0.00,100,16,1,6,1448,1,3,1,1,,,0,0,2,2,1,,99,,,,Y,we,1592520240209,1,,1592520240209011,1,5,S:8AM-8PM,33014,02,2,0,MIAMI-DADE,1336,0,1,1,,,,1,48,-1,1,1,8,02AUG24:11:17,1000000003,1000000003,,,,,,2379.0591316,2024021253weS:8AM-8PM,,0,1592520240209011,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),2024021253weS:8AM-8PM,2024112531592520240209,2024,6,12,86,12,1592520240209012,1,6.50,0.00,100,16,1,6,1448,1,3,1,1,,,0,0,1,1,1,,99,,,,Y,we,1592520240209,1,,1592520240209012,1,5,S:8AM-8PM,33014,02,2,0,MIAMI-DADE,1336,0,1,1,,,,1,28,-1,2,1,8,02AUG24:11:17,1000000003,1000000003,,,,,,2379.0591316,2024021253weS:8AM-8PM,,0,1592520240209012,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),2024021253weS:8AM-8PM,2024112531592520240209,2024,6,12,99,12,1592520240209013,1,1.00,,10,2,1,6,1448,1,3,2,1,,,0,0,0,0,1,,99,,,,Y,we,1592520240209,1,,1592520240209013,,5,S:8AM-8PM,33461,02,,,PALM BEACH,1403,0,1,1,,,,1,36,-1,1,8,8,02AUG24:11:17,1000000003,1000000003,,,,,,3558.5250288,2024021253weS:8AM-8PM,,0,1592520240209013,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),2024021253weS:8AM-8PM,2024112531592520240209,2024,6,12,99,12,1592520240209014,1,0.50,,0,0,1,6,1448,1,3,2,1,,,0,0,0,0,1,,99,,,,Y,we,1592520240209,1,,1592520240209014,,5,S:8AM-8PM,33418,02,,,PALM BEACH,1439,0,1,1,,,,1,32,-1,1,8,8,02AUG24:11:17,1000000003,1000000003,,,,,,3558.5250288,2024021253weS:8AM-8PM,,0,1592520240209014,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),2024021253weS:8AM-8PM,2024112531592520240209,2024,5,42,3,12,1592520240209015,1,1.00,0.00,0,0,1,6,1448,1,3,2,1,,,0,0,1,0,1,,99,,,,O,we,1592520240209,1,,1592520240209015,1,5,S:8AM-8PM,15140,02,,,,1524,0,1,1,,,,1,65,-1,2,8,8,02AUG24:11:17,1000000003,1000000003,,,,,,3558.5250288,2024021253weS:8AM-8PM,,0,1592520240209015,05/05/2025
UNIDENTIFIED (SURFACE FISH),UNIDENTIFIED (SURFACE FISH),2024021253weS:8AM-8PM,2024112531592520240209,2024,6,12,117,12,1592520240209016,1,5.00,0.00,0,0,1,6,1448,1,3,1,1,,,0,0,1,1,1,,99,,,,Y,we,1592520240209,1,,1592520240209016,1,5,S:8AM-8PM,32746,02,1,0,SEMINOLE,1533,0,1,1,,,,1,27,-1,1,1,8,02AUG24:11:17,1000000003,1000000003,,,,,,3558.5250288,2024021253weS:8AM-8PM,,0,1592520240209016,05/05/2025
UNIDENTIFIED (SURFACE FISH),FLORIDA POMPANO,2024021253weS:8AM-8PM,2024112531592520240209,2024,6,12,99,12,1592520240209017,1,6.00,0.00,6,2,1,6,1448,1,3,2,1,,,0,0,2,0,1,,99,,,,Y,we,1592520240209,1,,1592520240209017,1,5,S:8AM-8PM,33412,02,0,1,PALM BEACH,1607,0,1,1,168708,,,2,56,-1,1,8,8,02AUG24:11:17,8835280901,1000000003,,,,,,3558.5250288,2024021253weS:8AM-8PM,,0,1592520240209017,05/05/2025
UNIDENTIFIED (SURFACE FISH),FLORIDA POMPANO,2024021253weS:8AM-8PM,2024112531592520240209,2024,6,12,99,12,1592520240209018,1,6.00,0.00,6,2,1,6,1448,1,3,2,1,,,0,0,3,0,1,,99,,,,Y,we,1592520240209,1,,1592520240209018,1,5,S:8AM-8PM,33412,02,0,3,PALM BEACH,1607,0,1,1,168708,,,1,70,-1,2,8,8,02AUG24:11:17,8835280901,1000000003,,,,,,3558.5250288,2024021253weS:8AM-8PM,,0,1592520240209018,05/05/2025
