PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,ID_CODE,AREA,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,WAVE,SUB_REG,INTSITE,MODE_F,MODE_FX,CATCH,CNTRBTRS,PARTY,FIRST,NUM_TYP4,NUM_TYP6,NUM_TYP2,NUM_TYP3,AREA_X,ON_LIST,CNTY,BOAT_HRS,NUM_TYP9,TELEFON,COASTAL,KOD,NEW_LIST,ASG_CODE,MODE_ASG,PRT_CODE,CELLTYPE,REGION,STRAT_INTERVAL,ZIP,MONTH,FSHINSP_A,NUM_FISH_A,COUNTY,TIME,MODE2001,DIST,GEAR,TSN1,TSN2,PVT_RES,SEX,AGE,ART_REEF,ADD_PH,F_BY_P,SEP_FISH,DATE1,PRIM1,PRIM2,TURTLE,REEFCODE,AREA_NC,MUNI_RES,MUNI_TRP,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,DATE_PUBLISHED
UNIDENTIFIED (SURFACE FISH),TAUTOG,202411915weS:8AM-8PM,202469151794720241102,2024,4,9,11,9,1794720241102011,C,5.00,0.00,0,0,6,4,638,7,5,2,1,5,2,0,1,3,0,5,1,11,7.00,,,Y,we,1,1794720241102,1,1794720241102007,1,1,S:8AM-8PM,06384,11,,,NEW LONDON,1454,7,8,1,170479,,,,45,2,2,8,8,04MAR25:11:22,8839010101,1000000003,,,,,,5.7652584437,202411915weS:8AM-8PM,,0,1794720241102011,05/05/2025
UNIDENTIFIED (SURFACE FISH),STRIPED BASS,202411917weS:8AM-8PM,202469171794720241103,2024,4,25,27,9,1794720241103021,1,5.00,0.00,4,2,6,4,737,8,7,2,1,2,1,0,0,3,0,1,,11,7.50,,,O,we,,1794720241103,3,1794720241103021,1,1,S:8AM-8PM,01094,11,,,,1530,8,1,1,167680,,,,46,2,1,8,8,04MAR25:11:22,8835020102,1000000003,,,,,,128.72651212,202411917weS:8AM-8PM,,0,1794720241103021,05/05/2025
UNIDENTIFIED (SURFACE FISH),STRIPED BASS,202411917weS:8AM-8PM,202469171794720241103,2024,4,25,27,9,1794720241103022,1,5.00,0.00,4,2,6,4,737,8,7,2,1,2,2,0,1,2,0,1,,11,7.50,,,O,we,,1794720241103,3,1794720241103021,1,1,S:8AM-8PM,01541,11,,,,1530,8,1,1,167680,,,,40,2,2,8,8,04MAR25:11:22,8835020102,1000000003,,,,,,128.72651212,202411917weS:8AM-8PM,,0,1794720241103022,05/05/2025
BLACK SEA BASS,TAUTOG,202411917weS:8AM-8PM,202469171794720241103,2024,4,9,3,9,1794720241103026,1,1.00,0.00,4,0,6,4,737,8,7,2,1,2,1,0,0,1,0,1,,11,4.00,,,Y,we,,1794720241103,3,1794720241103026,1,1,S:8AM-8PM,06073,11,,,HARTFORD,1551,8,1,1,170479,167687,,,65,2,2,8,8,04MAR25:11:22,8839010101,8835020301,,,,,,128.72651212,202411917weS:8AM-8PM,,0,1794720241103026,05/05/2025
BLACK SEA BASS,TAUTOG,202411917weS:8AM-8PM,202469171794720241103,2024,4,9,3,9,1794720241103027,1,1.00,0.00,4,0,6,4,737,8,7,2,1,2,2,0,1,1,0,1,,11,4.00,,,Y,we,,1794720241103,3,1794720241103026,1,1,S:8AM-8PM,06073,11,,,HARTFORD,1552,8,1,1,170479,167687,,,60,2,2,8,8,04MAR25:11:22,8839010101,8835020301,,,,,,128.72651212,202411917weS:8AM-8PM,,0,1794720241103027,05/05/2025
UNIDENTIFIED (SURFACE FISH),TAUTOG,202411917weS:8AM-8PM,202469171794720241116,2024,4,25,27,9,1794720241116011,1,5.00,0.00,0,0,6,4,737,8,7,1,3,3,1,0,0,3,3,1,,11,6.00,,,O,we,,1794720241116,3,1794720241116011,1,1,S:8AM-8PM,01550,11,3,0,,1325,8,1,1,170479,,,,49,2,1,2,2,04MAR25:11:22,8839010101,1000000003,,,,,,166.48726373,202411917weS:8AM-8PM,,0,1794720241116011,05/05/2025
UNIDENTIFIED (SURFACE FISH),TAUTOG,202411917weS:8AM-8PM,202469171794720241116,2024,4,25,27,9,1794720241116012,1,5.00,0.00,12,3,6,4,737,8,7,3,0,3,2,1,1,2,0,1,,11,6.00,,,O,we,,1794720241116,3,1794720241116011,1,1,S:8AM-8PM,01550,11,,,,1325,8,1,1,170479,,,,52,2,2,8,8,04MAR25:11:22,8839010101,1000000003,,,,,,166.48726373,202411917weS:8AM-8PM,,0,1794720241116011,05/05/2025
UNIDENTIFIED (SURFACE FISH),TAUTOG,202411917weS:8AM-8PM,202469171794720241116,2024,4,25,27,9,1794720241116013,1,5.00,0.00,0,0,6,4,737,8,7,3,0,3,2,1,1,3,0,1,,11,6.00,,,O,we,,1794720241116,3,1794720241116011,1,1,S:8AM-8PM,01550,11,,,,1325,8,1,1,170479,,,,21,2,2,8,8,04MAR25:11:22,8839010101,1000000003,,,,,,166.48726373,202411917weS:8AM-8PM,,0,1794720241116011,05/05/2025
UNIDENTIFIED (SURFACE FISH),TAUTOG,202411917weS:8AM-8PM,202469171794720241116,2024,4,9,11,9,1794720241116014,1,7.50,0.00,35,25,6,4,737,8,7,1,1,1,8,0,0,2,1,1,,11,8.50,,,Y,we,,1794720241116,3,1794720241116014,1,1,S:8AM-8PM,06384,11,1,0,NEW LONDON,1610,8,1,1,170479,,,,59,2,1,1,8,04MAR25:11:22,8839010101,1000000003,,,,,,125.78885949,202411917weS:8AM-8PM,,0,1794720241116014,05/05/2025
UNIDENTIFIED (SURFACE FISH),TAUTOG,202411917weS:8AM-8PM,202469171794720241116,2024,4,9,3,9,1794720241116015,1,8.00,0.00,12,7,6,4,737,8,7,1,2,2,1,0,0,3,5,1,,11,12.00,,,Y,we,,1794720241116,3,1794720241116015,1,1,S:8AM-8PM,06027,11,5,0,HARTFORD,1635,8,1,1,170479,,,,46,2,1,2,2,04MAR25:11:22,8839010101,1000000003,,,,,,125.78885949,202411917weS:8AM-8PM,,0,1794720241116015,05/05/2025
UNIDENTIFIED (SURFACE FISH),TAUTOG,202411917weS:8AM-8PM,202469171794720241116,2024,4,9,9,9,1794720241116016,1,8.00,0.00,12,4,6,4,737,8,7,3,0,2,2,1,1,3,0,1,,11,12.00,,,Y,we,,1794720241116,3,1794720241116015,1,1,S:8AM-8PM,06770,11,,,NEW HAVEN,1635,8,1,1,170479,,,,40,2,2,8,8,04MAR25:11:22,8839010101,1000000003,,,,,,125.78885949,202411917weS:8AM-8PM,,0,1794720241116015,05/05/2025
UNIDENTIFIED (SURFACE FISH),TAUTOG,202411917weS:8AM-8PM,202469171817120241110,2024,4,9,11,9,1817120241110001,1,3.50,0.00,50,15,6,4,651,8,7,2,1,4,1,0,0,3,0,1,,11,4.00,,,Y,we,,1817120241110,5,1817120241110001,1,1,S:8AM-8PM,06320,11,0,2,NEW LONDON,1225,8,1,1,170479,,,,42,2,1,8,8,04MAR25:11:22,8839010101,1000000003,,,,,,1309.4728782,202411917weS:8AM-8PM,,0,1817120241110001,05/05/2025
UNIDENTIFIED (SURFACE FISH),TAUTOG,202411917weS:8AM-8PM,202469171817120241110,2024,4,9,11,9,1817120241110002,1,3.50,,50,15,6,4,651,8,7,2,1,4,2,0,1,0,0,1,,11,4.00,,,Y,we,,1817120241110,5,1817120241110001,,1,S:8AM-8PM,06320,11,,,NEW LONDON,1225,8,1,1,170479,,,,45,2,2,8,8,04MAR25:11:22,8839010101,1000000003,,,,,,1309.4728782,202411917weS:8AM-8PM,,0,1817120241110002,05/05/2025
UNIDENTIFIED (SURFACE FISH),TAUTOG,202411917weS:8AM-8PM,202469171817120241110,2024,4,9,11,9,1817120241110003,1,3.50,,50,15,6,4,651,8,7,2,1,4,2,0,1,0,0,1,,11,4.00,,,Y,we,,1817120241110,5,1817120241110001,,1,S:8AM-8PM,06320,11,,,NEW LONDON,1226,8,1,1,170479,,,,35,2,2,8,8,04MAR25:11:22,8839010101,1000000003,,,,,,1309.4728782,202411917weS:8AM-8PM,,0,1817120241110003,05/05/2025
UNIDENTIFIED (SURFACE FISH),TAUTOG,202411917weS:8AM-8PM,202469171817120241110,2024,4,9,11,9,1817120241110004,1,3.50,,50,15,6,4,651,8,7,2,1,4,2,0,1,0,0,1,,11,4.00,,,Y,we,,1817120241110,5,1817120241110001,,1,S:8AM-8PM,06320,11,,,NEW LONDON,1226,8,1,1,170479,,,,20,2,2,8,8,04MAR25:11:22,8839010101,1000000003,,,,,,1309.4728782,202411917weS:8AM-8PM,,0,1817120241110004,05/05/2025
ATLANTIC COD,BLACK SEA BASS,202411917weS:8AM-8PM,202469171794720241103,2024,4,9,5,9,1794720241103028,1,4.00,0.00,12,2,6,4,737,8,7,1,4,4,1,0,0,5,5,2,,11,8.50,,,Y,we,,1794720241103,3,1794720241103028,1,1,S:8AM-8PM,06791,11,5,0,LITCHFIELD,1555,8,2,1,167687,164712,,,34,2,1,2,2,04MAR25:11:22,8835020301,8791030402,,,,,,128.72651212,202411917weS:8AM-8PM,,0,1794720241103028,05/05/2025
ATLANTIC COD,BLACK SEA BASS,202411917weS:8AM-8PM,202469171794720241103,2024,4,9,5,9,1794720241103029,1,4.00,0.00,12,2,6,4,737,8,7,3,0,4,2,1,1,5,0,2,,11,8.50,,,Y,we,,1794720241103,3,1794720241103028,1,1,S:8AM-8PM,06791,11,,,LITCHFIELD,1555,8,2,1,167687,164712,,,63,2,2,8,8,04MAR25:11:22,8835020301,8791030402,,,,,,128.72651212,202411917weS:8AM-8PM,,0,1794720241103028,05/05/2025
ATLANTIC COD,BLACK SEA BASS,202411917weS:8AM-8PM,202469171794720241103,2024,4,9,5,9,1794720241103030,1,4.00,0.00,12,2,6,4,737,8,7,3,0,4,2,1,1,5,0,2,,11,8.50,,,Y,we,,1794720241103,3,1794720241103028,1,1,S:8AM-8PM,06791,11,,,LITCHFIELD,1555,8,2,1,167687,164712,,,62,2,2,8,8,04MAR25:11:22,8835020301,8791030402,,,,,,128.72651212,202411917weS:8AM-8PM,,0,1794720241103028,05/05/2025
ATLANTIC COD,BLACK SEA BASS,202411917weS:8AM-8PM,202469171794720241103,2024,4,9,5,9,1794720241103031,1,4.00,0.00,12,2,6,4,737,8,7,3,0,4,2,1,1,5,0,2,,11,8.50,,,Y,we,,1794720241103,3,1794720241103028,1,1,S:8AM-8PM,06791,11,,,LITCHFIELD,1555,8,2,1,167687,164712,,,72,2,2,8,8,04MAR25:11:22,8835020301,8791030402,,,,,,128.72651212,202411917weS:8AM-8PM,,0,1794720241103028,05/05/2025
UNIDENTIFIED (SURFACE FISH),TAUTOG,202411917weS:8AM-8PM,202469171794720241102,2024,4,9,11,9,1794720241102012,C,1.50,0.00,150,20,6,4,638,8,7,2,1,3,1,0,0,2,0,5,,11,2.50,,,Y,we,,1794720241102,1,1794720241102012,1,1,S:8AM-8PM,06357,11,0,1,NEW LONDON,1646,8,8,1,170479,,,,26,2,2,8,8,04MAR25:11:22,8839010101,1000000003,,,,,,5209.2909352,202411917weS:8AM-8PM,,0,1794720241102012,05/05/2025
UNIDENTIFIED (SURFACE FISH),TAUTOG,202411917weS:8AM-8PM,202469171794720241102,2024,4,9,11,9,1794720241102013,C,1.50,0.00,150,20,6,4,638,8,7,2,1,3,2,0,1,2,0,5,,11,2.50,,,Y,we,,1794720241102,1,1794720241102012,1,1,S:8AM-8PM,06385,11,0,1,NEW LONDON,1646,8,8,1,170479,,,,44,2,1,8,8,04MAR25:11:22,8839010101,1000000003,,,,,,5209.2909352,202411917weS:8AM-8PM,,0,1794720241102013,05/05/2025
UNIDENTIFIED (SURFACE FISH),TAUTOG,202411917weS:8AM-8PM,202469171794720241102,2024,4,9,11,9,1794720241102014,C,1.50,0.00,150,20,6,4,638,8,7,2,1,3,2,0,1,2,0,5,,11,2.50,,,Y,we,,1794720241102,1,1794720241102012,1,1,S:8AM-8PM,06357,11,,,NEW LONDON,1646,8,8,1,170479,,,,42,2,2,8,8,04MAR25:11:22,8839010101,1000000003,,,,,,5209.2909352,202411917weS:8AM-8PM,,0,1794720241102014,05/05/2025
BLACK SEA BASS,STRIPED BASS,202411917weS:8AM-8PM,202469171794720241103,2024,4,9,3,9,1794720241103001,C,3.00,0.00,15,5,6,4,737,8,7,1,2,2,1,0,0,4,2,5,,11,4.00,,,Y,we,,1794720241103,3,1794720241103001,1,1,S:8AM-8PM,06062,11,2,0,HARTFORD,1113,8,8,1,167680,167687,,,38,2,1,2,2,04MAR25:11:22,8835020102,8835020301,,,,,,172.43432668,202411917weS:8AM-8PM,,0,1794720241103001,05/05/2025
BLACK SEA BASS,STRIPED BASS,202411917weS:8AM-8PM,202469171794720241103,2024,4,9,7,9,1794720241103002,C,3.00,0.00,15,5,6,4,737,8,7,3,0,2,2,1,1,4,0,5,,11,4.00,,,Y,we,,1794720241103,3,1794720241103001,1,1,S:8AM-8PM,06441,11,,,MIDDLESEX,1113,8,8,1,167680,167687,,,60,2,2,8,8,04MAR25:11:22,8835020102,8835020301,,,,,,172.43432668,202411917weS:8AM-8PM,,0,1794720241103001,05/05/2025
UNIDENTIFIED (SURFACE FISH),TAUTOG,202411917weS:8AM-8PM,202469171794720241103,2024,4,9,13,9,1794720241103003,C,2.00,0.00,28,8,6,4,737,8,7,2,1,2,1,0,0,1,0,5,,11,3.50,,,Y,we,,1794720241103,3,1794720241103003,1,1,S:8AM-8PM,06066,11,,,TOLLAND,1234,8,8,1,170479,,,,60,2,1,8,8,04MAR25:11:22,8839010101,1000000003,,,,,,172.43432668,202411917weS:8AM-8PM,,0,1794720241103003,05/05/2025
UNIDENTIFIED (SURFACE FISH),TAUTOG,202411917weS:8AM-8PM,202469171794720241103,2024,4,9,13,9,1794720241103004,C,2.00,0.00,28,8,6,4,737,8,7,2,1,2,2,0,1,1,0,5,,11,3.50,,,Y,we,,1794720241103,3,1794720241103003,1,1,S:8AM-8PM,06066,11,,,TOLLAND,1234,8,8,1,170479,,,,59,2,2,8,8,04MAR25:11:22,8839010101,1000000003,,,,,,172.43432668,202411917weS:8AM-8PM,,0,1794720241103004,05/05/2025
UNIDENTIFIED (SURFACE FISH),TAUTOG,202411917weS:8AM-8PM,202469171794720241103,2024,4,44,9,9,1794720241103005,C,4.00,0.00,40,20,6,4,737,8,7,2,1,1,8,0,0,1,0,5,,11,5.00,,,O,we,,1794720241103,3,1794720241103005,1,1,S:8AM-8PM,02891,11,,,WASHINGTON,1240,8,8,1,170479,,,,61,2,1,8,8,04MAR25:11:22,8839010101,1000000003,,,,,,172.43432668,202411917weS:8AM-8PM,,0,1794720241103005,05/05/2025
UNIDENTIFIED (SURFACE FISH),TAUTOG,202411917weS:8AM-8PM,202469171794720241103,2024,4,9,11,9,1794720241103006,C,6.00,0.00,30,8,6,4,737,8,7,1,6,6,1,0,0,2,6,5,,11,6.50,,,Y,we,,1794720241103,3,1794720241103006,1,1,S:8AM-8PM,06351,11,21,0,NEW LONDON,1328,8,8,1,170479,,,,54,2,2,2,2,04MAR25:11:22,8839010101,1000000003,,,,,,172.43432668,202411917weS:8AM-8PM,,0,1794720241103006,05/05/2025
UNIDENTIFIED (SURFACE FISH),TAUTOG,202411917weS:8AM-8PM,202469171794720241103,2024,4,9,11,9,1794720241103007,C,6.00,0.00,20,10,6,4,737,8,7,3,0,6,2,1,1,2,0,5,,11,6.50,,,Y,we,,1794720241103,3,1794720241103006,1,1,S:8AM-8PM,06351,11,,,NEW LONDON,1328,8,8,1,170479,,,,27,2,2,8,8,04MAR25:11:22,8839010101,1000000003,,,,,,172.43432668,202411917weS:8AM-8PM,,0,1794720241103006,05/05/2025
UNIDENTIFIED (SURFACE FISH),TAUTOG,202411917weS:8AM-8PM,202469171794720241103,2024,4,9,11,9,1794720241103008,C,6.00,0.00,30,8,6,4,737,8,7,3,0,6,2,1,1,2,0,5,,11,6.50,,,Y,we,,1794720241103,3,1794720241103006,1,1,S:8AM-8PM,06351,11,,,NEW LONDON,1328,8,8,1,170479,,,,47,2,2,8,8,04MAR25:11:22,8839010101,1000000003,,,,,,172.43432668,202411917weS:8AM-8PM,,0,1794720241103006,05/05/2025
UNIDENTIFIED (SURFACE FISH),TAUTOG,202411917weS:8AM-8PM,202469171794720241103,2024,4,9,11,9,1794720241103009,C,6.00,0.00,20,4,6,4,737,8,7,3,0,6,2,1,1,2,0,5,,11,6.50,,,Y,we,,1794720241103,3,1794720241103006,1,1,S:8AM-8PM,06384,11,,,NEW LONDON,1328,8,8,1,170479,,,,55,2,2,8,8,04MAR25:11:22,8839010101,1000000003,,,,,,172.43432668,202411917weS:8AM-8PM,,0,1794720241103006,05/05/2025
UNIDENTIFIED (SURFACE FISH),TAUTOG,202411917weS:8AM-8PM,202469171794720241103,2024,4,9,11,9,1794720241103010,C,6.00,0.00,4,4,6,4,737,8,7,3,0,6,2,1,1,2,0,5,,11,6.50,,,Y,we,,1794720241103,3,1794720241103006,1,1,S:8AM-8PM,06384,11,,,NEW LONDON,1328,8,8,1,170479,,,,55,2,2,8,8,04MAR25:11:22,8839010101,1000000003,,,,,,172.43432668,202411917weS:8AM-8PM,,0,1794720241103006,05/05/2025
